City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Springbok,ZA,2022-12-30 16:04:47,-29.6643,17.8865,88.11,10,0,13.49
111,Golyshmanovo,RU,2022-12-30 16:04:47,56.3979,68.3728,-13.16,100,94,4.97
112,Punta Arenas,CL,2022-12-30 16:04:48,-53.15,-70.9167,53.71,51,20,41.43
113,Narsipatnam,IN,2022-12-30 16:04:48,17.6667,82.6167,72.79,91,38,1.05
114,Ballitoville,ZA,2022-12-30 16:04:49,-29.539,31.2144,67.24,75,100,8.59
115,Fort Nelson,CA,2022-12-30 16:00:49,58.8053,-122.7002,-6.05,88,100,0.65
116,Anadyr,RU,2022-12-30 16:04:49,64.75,177.4833,-16.1,69,75,11.18
117,Morondava,MG,2022-12-30 16:04:50,-20.2833,44.2833,82.78,73,95,11.25
118,Uvira,CD,2022-12-30 16:04:50,-3.4067,29.1458,74.1,87,81,6.02
119,Rio Grande,BR,2022-12-30 16:04:50,-32.035,-52.0986,79.99,48,0,12.8
120,Berlevag,NO,2022-12-30 16:04:51,70.8578,29.0864,23.0,74,100,17.27
121,Ponta Do Sol,PT,2022-12-30 16:04:51,32.6667,-17.1,73.13,47,11,7.87
122,Dubbo,AU,2022-12-30 16:04:51,-32.25,148.6167,68.13,68,17,11.5
123,Husavik,IS,2022-12-30 16:04:52,66.0449,-17.3389,20.26,74,100,20.58
124,Iqaluit,CA,2022-12-30 16:00:14,63.7506,-68.5145,-22.61,87,19,9.55
125,Dunedin,NZ,2022-12-30 16:00:14,-45.8742,170.5036,48.02,89,68,3.0
126,Pingliang,CN,2022-12-30 16:04:53,35.5392,106.6861,26.46,62,22,1.03
127,Khatanga,RU,2022-12-30 16:04:53,71.9667,102.5,-9.24,86,100,19.37
